cardID,card_exp_date,current_points,points_redeemed,first_name,last_name,street_name,street_number,apt_floor,city,zip,relationship_status,numer of kids,date_of_birth
5263546534379162,2024-01-06,178,45,Nikos,Nikolaou,Iouda,110,5,Patras,22334,widowed,4,1954-10-07
3553118128524860,2022-05-08,901,20,Sabrina,Stokou,Romilias,92,0,Athens,15477,free,0,2001-04-18
6759715810673034644,2023-11-20,465,65,Manos,Chasomeris,Papandreou,46,1,Thessaloniki,55432,divorced,2,1974-05-28
3555002503642307,2024-01-19,849,70,Errikos,Petropoulos,Menelaou,50,2,Thessaloniki,58322,widowed,1,1952-05-23
5100172033116208,2022-10-29,814,85,Ria,Takou,Agisilaou,119,0,Athens,15118,married,3,1973-11-20
36638250887382,2024-03-24,654,20,Takis,Kakos,Ag.triados,67,5,Thessaloniki,53322,free,0,1952-05-15
3581587998583501,2023-12-28,744,80,Panagiotis,Dimopoulos,Averof,79,1,Patras,23343,married,4,1981-01-12
3550367633873675,2022-05-13,777,65,Maria,Papasopoulou,Alexandrou,76,4,Thessaloniki,55372,married,2,1965-04-18
3577965861172410,2023-11-23,315,85,Kostas,Chios,Tritonos,14,2,Patras,23574,married,2,1978-11-07
3578048947019647,2024-03-07,239,70,Alexis,Karanikas,Artemisiou,135,1,Patras,22378,married,2,1979-11-12
56103459296197789,2020-12-05,626,60,Stefanos,Chios,Makeleiou,33,5,Athens,16614,married,3,1970-04-15
4903553890958695,2022-09-05,123,85,Giorgos,Labropoulos,Ag.Nikolaou,77,3,Athens,14506,free,0,1977-07-24
3569072843533114,2022-12-09,392,95,Maria,Donatou,Shimatariou,133,2,Thessaloniki,51337,free,0,1999-12-17
3538831836285968,2021-09-10,87,85,Dora,Alexiou,Pierias,148,3,Athens,10541,widowed,1,1975-03-16
6393334380347018,2023-04-19,154,35,Niki,Iacovou,Lomvardou,2,3,Athens,18552,divorced,3,1971-12-02
5002352705839456,2023-03-24,435,20,Amarilis,Thomopoulou,Enosis,73,4,Athens,15453,married,1,1988-10-20
374283905489688,2021-07-31,994,565,Kallipis,Palama,Tainarou,134,1,Patras,21578,free,0,1996-12-01
060454171140399597,2022-11-03,4,55,Eirini,Vlachodimou,Kennedy,74,5,Patras,24367,divorced,2,1978-09-01
6709215957576635,2023-04-22,817,50,Vasiliki,Agathou,Manis,85,3,Athens,13523,married,1,1989-08-13
3538808036316660,2023-06-24,770,5,Aliki,Makropoulou,Syroy,146,1,Patras,28547,married,1,1951-11-10
5018910545891191694,2023-06-21,287,90,Eleni,Kanellopoulou,Ioulianou,89,4,Athens,14460,widowed,2,1954-05-04
5118502036738196,2022-08-09,917,60,Anastasis,Anastasiou,Karaiskaki,5,4,Patras,22505,married,5,1961-09-05
5007661765647525,2020-10-19,94,80,Marios,Varopoulos,Nikaias,75,2,Patras,22572,widowed,1,1969-06-26
3565332538851740,2021-04-25,961,80,Ioulia,Theou,Evangelistrias,76,3,Athens,15659,divorced,1,1977-05-12
5297302816571278,2022-02-17,407,95,Margarita,Giannakou,Filis,50,4,Athens,14570,divorced,1,1968-02-20
372301948553351,2022-02-22,62,15,Paraskevas,Koutsikos,Methanon,64,0,Thessaloniki,53529,free,0,1997-12-17
372301124352560,2022-09-15,613,95,Vaggelis,Raptis,Gortynias,149,2,Thessaloniki,50527,divorced,1,1973-06-29
3564160013342450,2023-07-17,669,255,Katerina,NIkolaou,Chiou,35,2,Athens,16563,divorced,3,1964-03-23
3572003915850917,2023-07-17,942,45,Dimitra,Adami,Olgas,98,1,Athens,16535,married,2,1982-10-20
3579344635413922,2024-01-16,656,70,Filio,Makrinaki,Mystra,129,1,Athens,16535,married,4,1970-04-06
3545438764279673,2020-10-05,915,75,Petros,Loukatos,Anatolis,27,4,Thessaloniki,51570,widowed,0,1955-07-28
3547496755899097,2024-03-12,60,35,Tasos,Varemenos,Kolomvou,112,5,Athens,14554,divorced,1,1964-07-07
201614505517297,2022-06-11,109,30,Evelina,Marinou,Oraiokastrou,112,4,Athens,12549,divorced,3,1958-08-21
3561990232680915,2020-10-04,559,65,Christos,Renatos,Mpotsari,50,0,Athens,17528,free,0,2001-11-20
201990706595849,2021-08-28,862,45,Giorgos,Georgiou,Kalamarias,119,5,Thessaloniki,52564,divorced,3,1957-06-06
4455818206878362,2023-07-05,157,5,Labrini,Stefanidi,Livadias,65,4,Athens,10569,married,2,1984-06-30
3530531725837261,2021-11-13,418,50,Madalena,Mikroutsikou,Sinopis,73,4,Athens,13572,divorced,3,1966-08-04
67065525562411782,2023-05-06,414,75,Tasos,Fragkiadakis,Tinou,92,4,Patras,21560,married,4,1964-03-30
3579308397097785,2023-06-25,273,50,Rafail,Politis,Amerikis,79,4,Patras,21505,free,0,1997-10-24
5602219761239208,2024-01-21,373,90,Ioanna,Vidou,Kaisarianis,76,4,Athens,15536,free,0,1998-04-06
3574089970812031,2021-12-23,584,60,Evangelia,Galati,Oulof Palme,57,4,Thessaloniki,51574,widowed,1,1955-12-13
3566590909640518,2021-05-22,851,70,Katerina,Markaki,Dafnis,107,1,Patras,21566,widowed,2,1963-06-01
3536082092730923,2024-03-23,490,95,Giannis,Ioannou,Gortynias,109,1,Athens,13567,divorced,0,1989-07-13
3529433383121539,2022-03-15,445,90,Sofia,Karra,Ralli,17,4,Athens,16580,free,0,1990-09-04
4917235811766605,2021-03-17,209,65,Korina,Adamantaki,Mesinias,72,3,Athens,15565,widowed,1,1956-04-14
30302136787797,2021-04-23,123,35,Fotini,Markidou,MEgalopolis,23,4,Thessaloniki,51516,married,2,1954-07-31
374622689513686,2021-05-21,578,60,Orestis,Labrou,Venezouelas,38,2,Patras,21500,divorced,2,1973-02-13
36354690593594,2021-07-10,110,55,Michalis,Kandylakis,Milou,23,3,Thessaloniki,51522,married,4,1980-05-15
5610770031451627,2020-11-20,655,15,Danai,Thanou,Tainarou,22,2,Athens,16504,widowed,1,1960-04-12
201982585224021,2022-11-27,908,15,Roula,Stamou,Azofikis,3,2,Thessaloniki,51580,free,0,1987-10-22
3532936590194847,2021-11-06,779,80,Giorgos,Theodorakis,Akadimias,29,2,Patras,21545,widowed,1,1969-11-27
3545659269439088,2024-02-16,13,70,Georgia,Maggonaki,Skopiwn,80,5,Athens,12575,free,0,1998-02-10
3586607188605404,2023-04-27,561,65,Avraam,Papadopoulos,Poseidonos,133,2,Athens,16543,widowed,1,1957-06-28
3559343893828874,2021-01-09,730,80,Spiros,Martinos,Xagis,99,5,Athens,16531,widowed,4,1948-04-10
201589839259388,2022-02-10,877,20,Eleftheria,Skoulou,Ag.Triadas,85,5,Athens,16538,free,0,1990-07-29
3530967178650191,2021-10-02,943,70,Eleni,Samara,Neochoriou,125,2,Thessaloniki,51539,divorced,2,1961-01-14
4017951063872334,2023-11-03,337,20,Konstantina,Titikaki,Ag.Sofias,87,1,Athens,12521,married,2,1984-06-28
3534094666570389,2023-11-08,637,65,Dimitra,Bratti,M.Alexandrou,18,4,Thessaloniki,51507,free,0,1990-10-20
3558256734255068,2021-07-10,820,20,Anastasia,Drepa,Mykonou,90,2,Athens,14503,divorced,2,1961-07-16
4917176465749309,2023-06-24,787,65,Athina,Kappa,Dasous,127,1,Patras,21576,divorced,1,1955-02-24
3566089958652391,2021-09-21,894,35,Emanouil,Papadakis,Thasou,125,4,Athens,11572,married,0,1979-11-12
5893029082741615841,2022-01-28,361,20,Panagiota,Kampouraki,Stenis,70,1,Thessaloniki,51500,married,4,1971-08-31
3583569692274056,2022-12-09,835,20,Nikolaos,Mparmpounakis,Irakleiou,65,2,Athens,15322,widowed,3,1951-04-30
4041597431514692,2021-12-31,428,55,Theodoros,Theodorou,Aigyptou,110,3,Thessaloniki,55307,married,4,1954-07-20
30306750272465,2023-08-27,847,95,Stavros,Stavropoulos,Kennedy,6,2,Patras,20560,divorced,1,1956-08-05
3569950407569519,2021-11-28,883,250,Charalambia,Nikitaki,Stadiou,137,4,Patras,21565,married,1,1979-06-06
560222888244151232,2021-04-24,1000,20,Charalambos,Deligiannis,Potamias,11,4,Athens,11541,free,0,1993-06-27
3586261359853680,2021-04-06,736,40,Polixeni,Panou,Galilaiou,44,5,Thessaloniki,51525,divorced,3,1958-08-29
5610184730337642,2021-07-10,793,80,Simeon,Ramanidis,Emporiou,35,1,Athens,11535,married,1,1993-01-15
56022324933716664,2023-12-18,620,60,Panagiotis,Giannakis,Pasalimani,52,3,Patras,21533,married,1,1990-06-18
3539902749164589,2023-05-11,322,10,Alexis,Alexiou,Brahamiou,68,2,Athens,11510,married,4,1975-08-30
3566387705234699,2021-12-31,331,5,Karolina,Varthakouri,Lesvou,60,0,Thessaloniki,51523,free,0,1994-11-15
3582763357345134,2021-02-20,944,70,Eirini,Giakoumaki,Gennimata,140,1,Thessaloniki,51537,widowed,2,1959-09-17
5048373274330517,2023-10-02,433,25,Vaggelis,Stamatiou,Monomaxwn,84,3,Athens,11576,divorced,2,1974-07-28
3579443124879294,2023-09-13,647,125,Vasiliki,Tzanetaki,Alimou,54,0,Thessaloniki,51576,free,0,1996-02-22
4917985348865755,2023-02-12,862,85,Nikoleta,Chalkia,Rousvelt,73,3,Athens,11546,divorced,2,1984-08-11
36540703475478,2022-05-15,67,85,Anna,Rapti,Koummoundourou,112,2,Athens,11504,free,0,2000-02-13
